H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	274354	288884	-0.02579727	-0.02579727	0.001748027	-14.75794
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	282808	286403	-0.00631576	-0.00631576	0.001748083	-3.612964
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	274790	277447	-0.00481134	-0.00481134	0.001766343	-2.7239
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	273919	284795	-0.01946613	-0.01946613	0.001762181	-11.04661
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	277103	290805	-0.02412715	-0.02412715	0.001763574	-13.68083
SW_US	RIMMA0409_Mex_Lowland	mexicana.TIL25	283071	285982	-0.005115516	-0.005115516	0.001740084	-2.939811
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	236375	236907	-0.001124066	-0.001124066	0.001860057	-0.6043177
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	243698	237166	0.01358388	0.01358388	0.00183936	7.385114
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	234517	233269	0.002667887	0.002667887	0.001858727	1.43533
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	237500	234334	0.006709987	0.006709987	0.001876843	3.575145
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	240719	232371	0.01764569	0.01764569	0.001851437	9.530807
SA_Lowland	RIMMA0409_Mex_Lowland	mexicana.TIL25	231893	236731	-0.01032384	-0.01032384	0.001872992	-5.511951
Andean	RIMMA0409_Mex_Lowland	mexicana.TIL25	253691	250428	0.006472678	0.006472678	0.001827647	3.541535
Andean	RIMMA0409_Mex_Lowland	mexicana.TIL25	245781	249539	-0.007587014	-0.007587014	0.001861065	-4.076705
Andean	RIMMA0409_Mex_Lowland	mexicana.TIL25	249676	252075	-0.004781256	-0.004781256	0.001840022	-2.598477
Andean	RIMMA0409_Mex_Lowland	mexicana.TIL25	245577	254793	-0.01841837	-0.01841837	0.001840584	-10.00681
Andean	RIMMA0409_Mex_Lowland	mexicana.TIL25	244865	251261	-0.01289189	-0.01289189	0.001841741	-6.999839
Mex_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	262397	315235	-0.09147346	-0.09147346	0.001733902	-52.75585
Mex_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	230952	249744	-0.03909331	-0.03909331	0.001896872	-20.60935
Mex_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	256169	302853	-0.08351013	-0.08351013	0.001748781	-47.75334
Mex_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	279345	321713	-0.07048904	-0.07048904	0.001714726	-41.10806
Mex_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	259728	282085	-0.04126331	-0.04126331	0.001793652	-23.0052
Gua_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	261378	283873	-0.04125623	-0.04125623	0.001751531	-23.55438
Gua_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	257825	290726	-0.05997801	-0.05997801	0.001756108	-34.15394
Gua_Highland	RIMMA0409_Mex_Lowland	mexicana.TIL25	255657	291260	-0.06509763	-0.06509763	0.001763355	-36.91692
