H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
RIMMA0384_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	282677	291575	-0.01549494	-0.01549494	0.001724042	-8.987566
RIMMA0415_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	275941	297538	-0.03765962	-0.03765962	0.001739645	-21.64787
RIMMA0383_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	273581	295726	-0.03889817	-0.03889817	0.001726574	-22.52911
RIMMA0385_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	276263	283584	-0.01307679	-0.01307679	0.001745272	-7.492692
RIMMA0387_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	273551	289554	-0.02841921	-0.02841921	0.001740366	-16.32944
RIMMA1012_SW_US.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	283974	294709	-0.01855074	-0.01855074	0.001713498	-10.82624
RIMMA0390_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	234187	240038	-0.01233803	-0.01233803	0.001841797	-6.698905
RIMMA0392_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	241214	241836	-0.001287651	-0.001287651	0.001825169	-0.7054972
RIMMA0393_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	231839	237265	-0.01156673	-0.01156673	0.001837395	-6.295181
RIMMA0395_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	232662	235091	-0.005192912	-0.005192912	0.00186277	-2.787737
RIMMA0398_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	239219	237805	0.002964211	0.002964211	0.001835754	1.614711
RIMMA0399_SA_Lowland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	230467	240994	-0.02232846	-0.02232846	0.001850773	-12.0644
RIMMA0625_Andean.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	245640	253323	-0.01539794	-0.01539794	0.001824978	-8.437326
RIMMA0466_Andean.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	250246	254021	-0.007486114	-0.007486114	0.001815127	-4.124292
RIMMA0468_Andean.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	243000	252834	-0.01983325	-0.01983325	0.001839986	-10.77902
RIMMA0662_Andean.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	241220	257055	-0.03177964	-0.03177964	0.001825796	-17.40591
RIMMA0665_Andean.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	243134	256125	-0.02602056	-0.02602056	0.001822642	-14.27629
RIMMA1007_Gua_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	257664	297566	-0.07186571	-0.07186571	0.001734257	-41.4389
RIMMA0670_Gua_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	262007	291727	-0.05367198	-0.05367198	0.001726841	-31.08103
RIMMA1008_Gua_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	254170	296891	-0.07752499	-0.07752499	0.001745337	-44.41836
RIMMA0438_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	262953	328213	-0.110392	-0.110392	0.001709782	-64.56497
RIMMA0421_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	263661	322321	-0.1001055	-0.1001055	0.001709819	-58.54741
RIMMA0623_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	229899	254829	-0.05143091	-0.05143091	0.001878375	-27.38053
RIMMA0626_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	257132	312081	-0.09653504	-0.09653504	0.001719385	-56.14509
RIMMA0672_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	280276	328635	-0.07941883	-0.07941883	0.001688815	-47.02636
RIMMA0677_Mex_Highland.IndelRealigned.bam	RIMMA0703_Mex_Lowland.IndelRealigned.bam	mexicana.bam	262833	289564	-0.04839092	-0.04839092	0.001767822	-27.37319
