pop	ind	tot
Andes	RIMMA0466	145045.462447223
Andes	RIMMA0468	147387.052721037
Andes	RIMMA0625	142780.991442246
Andes	RIMMA0662	138383.03597284
Andes	RIMMA0665	144162.445980774
GuaHigh	RIMMA0670	120043.127846404
GuaHigh	RIMMA1007	125135.423807086
GuaHigh	RIMMA1008	118277.317881273
MexHigh	RIMMA0421	119944.350658765
MexHigh	RIMMA0438	121267.0053877
MexHigh	RIMMA0626	116976.963470314
MexHigh	RIMMA0672	125931.992044464
MexLow	RIMMA0409	131586.32677459
MexLow	RIMMA0703	128482.107608552
MexLow	RIMMA0720	127815.549338668
MexLow	RIMMA0733	135577.912384975
MexLow	RIMMA1010	130828.895985812
SA_Low	RIMMA0390	125702.54325987
SA_Low	RIMMA0392	132662.938449279
SA_Low	RIMMA0393	131847.723020445
SA_Low	RIMMA0395	144941.975120926
SA_Low	RIMMA0398	129503.081398241
SA_Low	RIMMA0399	136077.643256329
SW_US	RIMMA0383	120753.54167479
SW_US	RIMMA0384	124407.43344852
SW_US	RIMMA0385	126380.932398955
SW_US	RIMMA0387	131086.887074319
SW_US	RIMMA0415	131481.896679696
SW_US	RIMMA1012	124792.189346935
