pop	fixed	seg	ind1	ind2	ind3
Andes	122824	294794	RIMMA0466	RIMMA0468	RIMMA0625
Andes	118382	309408	RIMMA0466	RIMMA0468	RIMMA0662
Andes	119194	307619	RIMMA0466	RIMMA0468	RIMMA0665
Andes	114573	316735	RIMMA0466	RIMMA0625	RIMMA0662
Andes	115711	314486	RIMMA0466	RIMMA0625	RIMMA0665
Andes	113329	323775	RIMMA0466	RIMMA0662	RIMMA0665
Andes	115866	313834	RIMMA0468	RIMMA0625	RIMMA0662
Andes	115513	314860	RIMMA0468	RIMMA0625	RIMMA0665
Andes	114563	321349	RIMMA0468	RIMMA0662	RIMMA0665
Andes	111105	327263	RIMMA0625	RIMMA0662	RIMMA0665
GuaHigh	78178	429497	RIMMA0670	RIMMA1007	RIMMA1008
MexHigh	67950	452449	RIMMA0421	RIMMA0438	RIMMA0626
MexHigh	68901	446580	RIMMA0421	RIMMA0438	RIMMA0672
MexHigh	69899	447158	RIMMA0421	RIMMA0626	RIMMA0672
MexHigh	68517	450725	RIMMA0438	RIMMA0626	RIMMA0672
MexLow	84808	415061	RIMMA0409	RIMMA0703	RIMMA0720
MexLow	83901	416077	RIMMA0409	RIMMA0703	RIMMA0733
MexLow	80084	426548	RIMMA0409	RIMMA0703	RIMMA1010
MexLow	84883	411023	RIMMA0409	RIMMA0720	RIMMA0733
MexLow	80063	423633	RIMMA0409	RIMMA0720	RIMMA1010
MexLow	80395	421050	RIMMA0409	RIMMA0733	RIMMA1010
MexLow	83313	419076	RIMMA0703	RIMMA0720	RIMMA0733
MexLow	79293	429722	RIMMA0703	RIMMA0720	RIMMA1010
MexLow	78710	429243	RIMMA0703	RIMMA0733	RIMMA1010
MexLow	79677	424017	RIMMA0720	RIMMA0733	RIMMA1010
SA_Low	91953	393686	RIMMA0390	RIMMA0392	RIMMA0393
SA_Low	93294	388876	RIMMA0390	RIMMA0392	RIMMA0395
SA_Low	91055	395046	RIMMA0390	RIMMA0392	RIMMA0398
SA_Low	93306	388783	RIMMA0390	RIMMA0392	RIMMA0399
SA_Low	93690	388061	RIMMA0390	RIMMA0393	RIMMA0395
SA_Low	92095	392784	RIMMA0390	RIMMA0393	RIMMA0398
SA_Low	92979	390026	RIMMA0390	RIMMA0393	RIMMA0399
SA_Low	93356	388400	RIMMA0390	RIMMA0395	RIMMA0398
SA_Low	95325	382260	RIMMA0390	RIMMA0395	RIMMA0399
SA_Low	92622	389395	RIMMA0390	RIMMA0398	RIMMA0399
SA_Low	94001	385725	RIMMA0392	RIMMA0393	RIMMA0395
SA_Low	91412	392910	RIMMA0392	RIMMA0393	RIMMA0398
SA_Low	94095	385660	RIMMA0392	RIMMA0393	RIMMA0399
SA_Low	93267	386892	RIMMA0392	RIMMA0395	RIMMA0398
SA_Low	96620	377172	RIMMA0392	RIMMA0395	RIMMA0399
SA_Low	93129	386747	RIMMA0392	RIMMA0398	RIMMA0399
SA_Low	95366	381468	RIMMA0393	RIMMA0395	RIMMA0398
SA_Low	97543	375096	RIMMA0393	RIMMA0395	RIMMA0399
SA_Low	94176	383805	RIMMA0393	RIMMA0398	RIMMA0399
SA_Low	96424	376904	RIMMA0395	RIMMA0398	RIMMA0399
SW_US	72265	445724	RIMMA0383	RIMMA0384	RIMMA0385
SW_US	72358	440968	RIMMA0383	RIMMA0384	RIMMA0387
SW_US	72044	443877	RIMMA0383	RIMMA0384	RIMMA0415
SW_US	71988	446145	RIMMA0383	RIMMA0384	RIMMA1012
SW_US	72495	442466	RIMMA0383	RIMMA0385	RIMMA0387
SW_US	71987	445798	RIMMA0383	RIMMA0385	RIMMA0415
SW_US	71734	448167	RIMMA0383	RIMMA0385	RIMMA1012
SW_US	72746	438902	RIMMA0383	RIMMA0387	RIMMA0415
SW_US	72421	440813	RIMMA0383	RIMMA0387	RIMMA1012
SW_US	72116	443579	RIMMA0383	RIMMA0415	RIMMA1012
SW_US	77796	423951	RIMMA0384	RIMMA0385	RIMMA0387
SW_US	76828	428671	RIMMA0384	RIMMA0385	RIMMA0415
SW_US	76406	432013	RIMMA0384	RIMMA0385	RIMMA1012
SW_US	78445	418541	RIMMA0384	RIMMA0387	RIMMA0415
SW_US	78089	421607	RIMMA0384	RIMMA0387	RIMMA1012
SW_US	77960	423139	RIMMA0384	RIMMA0415	RIMMA1012
SW_US	77725	422200	RIMMA0385	RIMMA0387	RIMMA0415
SW_US	77172	425366	RIMMA0385	RIMMA0387	RIMMA1012
SW_US	76957	427654	RIMMA0385	RIMMA0415	RIMMA1012
SW_US	79748	414266	RIMMA0387	RIMMA0415	RIMMA1012
