no.derived.homo.sites	pop	noSites	percentage
3519991	Andes	1290335990	0.002727965
3521520	Andes	1307175700	0.002693991
3532484	Andes	1280053876	0.002759637
3539717	Andes	1325639304	0.002670196
3553979	Andes	1337064725	0.002658046
3537469	SA_Lowland	1368902922	0.002584164
3519734	SA_Lowland	1365464339	0.002577683
3524890	SA_Lowland	1376625294	0.00256053
3519477	SA_Lowland	1331216935	0.002643804
3517655	SA_Lowland	1322994795	0.002658858
3496484	SA_Lowland	1332866622	0.002623281
3489699	Mex_Highland	1323870519	0.002635982
3452308	Mex_Highland	1253263042	0.002754656
3498378	Mex_Highland	1343292200	0.002604331
3574388	Mex_Highland	1382369915	0.002585696
3485647	Mex_Highland	1297651261	0.00268612
3533063	Mex_Lowland	1362134670	0.002593769
3634498	Mex_Lowland	1463790367	0.002482936
3538720	Mex_Lowland	1390678450	0.0025446
3527588	Mex_Lowland	1339400178	0.002633707
3522367	Mex_Lowland	1330454763	0.002647491
3494426	SW_US	1367779902	0.002554816
3507924	SW_US	1346847954	0.002604543
3540826	SW_US	1369365361	0.002585742
3382173	SW_US	1275635065	0.002651364
3464482	SW_US	1300888242	0.002663167
3473375	SW_US	1338283485	0.002595396
3566819	Gua_Highland	1402863961	0.002542527
3528586	Gua_Highland	1363744418	0.002587425
3492486	Gua_Highland	1357175749	0.002573348
