bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
SW_US	109	160	40	8363	320	-76	396	211	147	218	3	236	36	7	40	91	30	74	53
SW_US	105	184	46	7816	312	-88	400	198	97	208	6	263	55	10	69	139	34	115	39
SW_US	120	173	43	8198	331	-69	400	219	17	228	17	275	49	13	49	121	43	107	43
SW_US	87	155	41	7808	283	-95	378	180	-13	188	-13	379	69	17	51	172	57	158	57
SW_US	96	166	43	7862	295	-89	384	190	-3	198	-3	371	70	17	58	178	52	164	52
SW_US	72	181	42	8166	283	-138	421	169	-36	176	-36	350	62	15	49	154	48	149	48
Mex_Highland	137	129	59	2352	249	32	217	158	131	165	105	911	180	8	91	532	30	406	56
Mex_Highland	182	180	64	2731	319	38	281	207	173	213	143	701	161	5	101	436	18	315	36
Mex_Highland	156	173	69	2080	271	22	249	174	126	177	126	645	127	5	89	365	20	292	20
Mex_Lowland	287	146	80	722	379	197	182	286	287	297	278	1325	342	3	113	849	9	314	19
Mex_Highland	141	151	68	1741	248	28	220	150	117	161	117	738	146	13	77	361	40	208	61
Mex_Highland	162	117	60	2303	255	63	192	170	140	188	130	1612	375	38	73	772	127	351	140
Mex_Highland	112	153	73	1321	216	9	207	116	94	127	93	1026	190	17	83	554	53	154	63
Mex_Lowland	266	107	64	1540	346	181	165	275	251	282	243	1186	307	2	110	705	7	361	9
Mex_Lowland	270	143	78	899	360	178	182	269	260	282	258	2628	526	5	94	1433	18	334	77
Gua_Highland	111	120	71	1156	186	17	169	120	93	122	93	1446	283	7	84	680	27	626	27
Gua_Highland	133	124	69	1711	209	30	179	149	108	150	108	1781	340	5	87	902	25	836	25
Gua_Highland	102	113	69	1096	176	13	163	109	85	113	85	1420	296	10	85	681	35	599	35
Mex_Lowland	264	86	65	1619	330	198	132	276	260	279	240	2352	313	73	43	876	231	491	429
Mex_Lowland	257	132	68	2027	351	158	193	274	237	277	228	1243	201	35	62	542	111	472	120
Andes	86	101	87	320	143	28	115	88	81	88	80	809	127	15	52	331	58	288	76
Andes	20	78	82	434	70	-24	94	22	18	23	13	1496	164	86	17	457	318	371	350
Andes	92	153	79	705	178	-14	192	98	82	99	82	726	123	7	65	324	26	262	26
SA_Lowland	261	73	89	281	302	220	82	263	262	265	257	2124	325	30	47	830	183	586	531
Andes	106	154	78	570	196	-1	197	109	97	111	97	825	139	7	65	363	29	276	29
SA_Lowland	192	100	87	397	250	136	114	186	194	195	186	2327	304	86	36	815	338	656	815
SA_Lowland	238	98	86	419	299	186	113	236	241	243	232	2399	284	116	28	809	387	469	746
SA_Lowland	278	98	80	414	345	223	122	275	282	284	274	2330	372	27	65	1028	91	207	968
SA_Lowland	277	118	83	454	350	208	142	273	275	282	270	1394	222	22	53	545	96	358	403
Andes	81	168	74	1222	186	-40	226	90	65	91	61	859	175	9	85	507	31	200	41
