Species	Subspecies	RI_Group	Lat	Long	RI_Accession	Size (GB)	Landrace	Elevation	Locality	Vig_ID	GRIN_ID	Source	Comments
Zea mays	mays	SW_US	35.9	-110.6666667	RIMMA0415		Hopi	1941	"Hotevilla, Arizona, USA"	PI 213733	PI 213733	GRIN	
Zea mays	mays	SW_US	34.9	-107.5833333	RIMMA0383	58	Acoma Pueblo	2073	"Acoma Pueblo, New Mexico, USA"	PI 218140	PI 218140	GRIN	
Zea mays	mays	SW_US	35.61666667	-106.7333333	RIMMA0387	58	Jemez Pueblo	1829	"Jemez Pueblo, New Mexico, USA"	PI 218173	PI 218173	GRIN	
Zea mays	mays	SW_US	36.05	-106.2833333	RIMMA0384	60	San Lorenzo Pueblo	2134	"San Lorenzo Pueblo, New Mexico, USA"	PI 218142	PI 218142	GRIN	
Zea mays	mays	SW_US	35.761696	-105.932521	RIMMA1012		Tesuque Pueblo	2073	"Tesuque Pueblo, New Mexico"	PI 218136	PI 218136	GRIN	Ordered from GRIN; should be arriving in the next few weeks
Zea mays	mays	SW_US	36.45	-105.55	RIMMA0385	52	Taos Pueblo	2134	"Taos Pueblo, New Mexico, USA"	PI 218152	PI 218152	GRIN	
Zea mays	mays	Mex_Highland	20.03333333	-103.6833333	RIMMA0623	15	Palomero_de_Jalisco	2520	"Jalisco, Mexico"	JAL_142	PI 645841	GRIN	
Zea mays	mays	Mex_Highland	21.36666667	-102.85	RIMMA0677	53	Conico_Norteno	1951	"Zacatecas, Mexico"	ZAC_12	Ames 28476 	Goodman	
Zea mays	mays	Mex_Highland	19.68333333	-99.13333333	RIMMA0672		Chalqueno	2256	"Mexico, Mexico"	MEX_48	PI 483613	Goodman	From Major:  Better Agronomic
Zea mays	mays	Mex_Lowland	16.85	-99.067	RIMMA1010	57	Pepitilla	201	"La Concordia, Guerrero"		"2376-GRO-297 (INIFAP), 25265 (CIMMYT)"	Holland/Goodman	Accession just received
Zea mays	mays	Mex_Highland	19.85	-97.98333333	RIMMA0421	57	Conico	2250	"Puebla, Mexico"	PUE_32	PI 484595	GRIN	From Major:  Representative
Zea mays	mays	Mex_Highland	19.88333333	-97.58333333	RIMMA0626	54	Arrocillo_Amarillo	2260	"Puebla, Mexico"	PUE_864	PI 645993	GRIN	
Zea mays	mays	Mex_Highland	19	-97.38333333	RIMMA0625	78	Cacahuacintle	2600	"Puebla, Mexico"	PUE_552	PI 645984	GRIN	From Major:  Representative
Zea mays	mays	Mex_Lowland	16.56666667	-94.61666667	RIMMA0733	57	Zapalote_Chico	107	"Oaxaca, Mexico"	OAX_50	PI 479054	Goodman	From Major:  Representative
Zea mays	mays	Mex_Lowland	15.43333333	-92.9	RIMMA0409	56	Tepecintle	107	"Chiapas, Mexico"	CHS_26	PI 478968	GRIN	
Zea mays	mays	Gua_Highland	15.03333	-91.783333	RIMMA1007		Serrano	3049	"San Marcos, Guatemala"	GUA_940	Ames 28502	Holland/Goodman	Accession just received
Zea mays	mays	Gua_Highland	14.96666667	-91.76666667	RIMMA0670		San_Marceno	2378	"San Marcos, Guatemala"	GUA_534	Ames 28508	Goodman	
Zea mays	mays	Gua_Highland	14.91667	-91.33333	RIMMA1008	58	Negro_de_Tierra_Fria	2774	"Totonicapan, Guatemala"	GUA_524	Ames 28530	Holland/Goodman	Accession just received
Zea mays	mays	Mex_Lowland	15.46666667	-88.85	RIMMA0720		Negro_de_Tierra_Caliente	39	Guatemala	GUA_101	PI 489372	Goodman	From Major:  Better Agronomic
Zea mays	mays	Mex_Lowland	20.83333333	-88.51666667	RIMMA0703	127	Nal_Tel	30	"Yucatan, Mexico"	YUC_7	NSL 283390	Goodman	From Major:  Representative
Zea mays	mays	Andes	-0.916666667	-78.91666667	RIMMA0665	57	Racimo_de_Uva	2931	Ecuador	ECU_968	PI 489324	Goodman	From Major:  Representative
Zea mays	mays	Andes	0	-78	RIMMA0662	56	Cuzco	2195	Ecuador	ECU_485	NSL 287008	Goodman	
Zea mays	mays	Andes	-8.7	-77.38333333	RIMMA0438	73	Maranon	2820	"Ancash, Peru"	ANC_336	PI 514809	GRIN	From Major:  Better Agronomic
Zea mays	mays	SA_Lowland	8.5	-77.26666667	RIMMA0395	107	Negrito	30	"Choco, Colombia"	CHO_339	PI 444731	GRIN	From Major:  Representative
Zea mays	mays	Andes	-9.383333333	-77.16666667	RIMMA0468	59	Sarco	3150	"Ancash, Peru"	ANC_184	PI 571960	GRIN	From Major:  Representative
Zea mays	mays	SA_Lowland	9.433333333	-75.7	RIMMA0398	64	Puya	27	"Magdalena, Colombia"	MAG_355	PI 444923	GRIN	
Zea mays	mays	SA_Lowland	4.516666667	-75.63333333	RIMMA0390	58	Comun	353	"Caldas, Colombia"	CAL_353	PI 444254	GRIN	
Zea mays	mays	SA_Lowland	1.75	-75.58333333	RIMMA0392	62	Andaqui	555	"Caqueta, Colombia"	CAQ_333	PI 444309	GRIN	
Zea mays	mays	SA_Lowland	8.316666667	-75.15	RIMMA0393	60	Costeno	100	"Cordoba, Colombia"	COR_320	PI 444473	GRIN	
Zea mays	mays	SA_Lowland	10.18333333	-74.05	RIMMA0399	50	Cariaco	250	"Magdalena, Colombia"	MAG_399	PI 444954	GRIN	From Major:  Representative
Zea mays	mays	Andes	-14.31666667	-72.91666667	RIMMA0466	67	Confite_Puneno	3600	"Apurimac, Peru"	APC_56	PI 571577	GRIN	From Major:  Representative
