INDV	F	perc.het	POP	distance(km)
RIMMA0383	0.22618	0.159177607158636	SW_US	2002.92103157
RIMMA0384	0.26494	0.151500423963396	SW_US	2081.12192595
RIMMA0385	0.30258	0.143908928771642	SW_US	2104.50705601
RIMMA0387	0.33155	0.137133076251617	SW_US	2048.7922761
RIMMA0390	0.32959	0.136662399765391	SA_Low	3070.40940664
RIMMA0392	0.29746	0.143100193677066	SA_Low	3244.91810658
RIMMA0393	0.33489	0.135732587404335	SA_Low	2919.63942324
RIMMA0395	0.34788	0.132885278268411	SA_Low	2700.13599282
RIMMA0398	0.35032	0.132409538087745	SA_Low	2814.72618546
RIMMA0399	0.34891	0.13238509017987	SA_Low	2952.42902013
RIMMA0409	0.33467	0.135832950146411	MexLow	835.483555494
RIMMA0415	0.35822	0.132263882409443	SW_US	2227.59548914
RIMMA0421	0.21415	0.161178777525742	MexHigh	307.004476438
RIMMA0438	0.21618	0.160912117160409	MexHigh	317.491958746
RIMMA0466	0.3586	0.130540808594801	Andes	4683.83346005
RIMMA0468	0.41814	0.118527692926265	Andes	3966.87277983
RIMMA0623	0.62411	0.0757481377995456	MexHigh	420.377100057
RIMMA0625	0.35615	0.131138066069601	Andes	3893.34136903
RIMMA0626	0.19802	0.16460387986585	MexHigh	342.667150426
RIMMA0662	0.36886	0.128517596078514	Andes	3154.09700593
RIMMA0665	0.37451	0.127526977568915	Andes	3146.58326807
RIMMA0670	0.19519	0.165346537105972	GuaHigh	967.596908365
RIMMA0672	0.21997	0.160487098512661	MexHigh	211.209539703
RIMMA0677	0.39361	0.124085272452289	MexHigh	454.046815873
RIMMA0703	0.24124	0.1559412650873	MexLow	1265.25848795
RIMMA0720	0.26877	0.149315543777198	MexLow	1246.65929513
RIMMA0733	0.36948	0.128761607567123	MexLow	620.643697396
RIMMA1007	0.24194	0.155569217050229	GuaHigh	963.155874122
RIMMA1008	0.22262	0.159396937327785	GuaHigh	1012.82695392
RIMMA1010	0.32416	0.138382289670811	MexLow	186.584301149
RIMMA1012	0.26868	0.150830036102055	SW_US	2040.97340102
