sample	distance(km)
RIMMA0383	2002.92103157
RIMMA0384	2081.12192595
RIMMA0385	2104.50705601
RIMMA0387	2048.7922761
RIMMA0390	3070.40940664
RIMMA0392	3244.91810658
RIMMA0393	2919.63942324
RIMMA0395	2700.13599282
RIMMA0398	2814.72618546
RIMMA0399	2952.42902013
RIMMA0409	835.483555494
RIMMA0415	2227.59548914
RIMMA0421	307.004476438
RIMMA0438	3893.34136903
RIMMA0466	4683.83346005
RIMMA0468	3966.87277983
RIMMA0623	420.377100057
RIMMA0625	317.491958746
RIMMA0626	342.667150426
RIMMA0662	3154.09700593
RIMMA0665	3146.58326807
RIMMA0670	967.596908365
RIMMA0672	211.209539703
RIMMA0677	454.046815873
RIMMA0703	1265.25848795
RIMMA0720	1246.65929513
RIMMA0733	620.643697396
RIMMA1007	963.155874122
RIMMA1008	1012.82695392
RIMMA1010	186.584301149
RIMMA1012	2040.97340102
