INDV	O.HOM.	E.HOM.	N_SITES	F	observed.het	perc.het	POP
RIMMA0383	38906205	36753342.1	46271609	0.22618	7365404	0.159177607158636	SW_US
RIMMA0384	38995324	36485785.1	45957977	0.26494	6962653	0.151500423963396	SW_US
RIMMA0385	39605527	36717093.4	46263217	0.30258	6657690	0.143908928771642	SW_US
RIMMA0387	38442096	35411811	44551593	0.33155	6109497	0.137133076251617	SW_US
RIMMA0390	40002032	36888976.9	46334171	0.32959	6332139	0.136662399765391	SA_Low
RIMMA0392	39613634	36812599.3	46229015	0.29746	6615381	0.143100193677066	SA_Low
RIMMA0393	40073074	36904276.3	46366522	0.33489	6293448	0.135732587404335	SA_Low
RIMMA0395	39969334	36701690.6	46094632	0.34788	6125298	0.132885278268411	SA_Low
RIMMA0398	39726982	36457701.6	45790017	0.35032	6063035	0.132409538087745	SA_Low
RIMMA0399	39643555	36401934	45692570	0.34891	6049015	0.13238509017987	SA_Low
RIMMA0409	39855202	36703982	46119789	0.33467	6264587	0.135832950146411	MexLow
RIMMA0415	39006454	35687816.2	44951977	0.35822	5945523	0.132263882409443	SW_US
RIMMA0421	38281519	36277073.8	45637280	0.21415	7355761	0.161178777525742	MexHigh
RIMMA0438	37827405	35826706	45081577	0.21618	7254172	0.160912117160409	MexHigh
RIMMA0466	39429830	36120048.3	45349834	0.3586	5920004	0.130540808594801	Andes
RIMMA0468	39700752	35864453.2	45039137	0.41814	5338385	0.118527692926265	Andes
RIMMA0623	30358058	26227132.2	32846088	0.62411	2488030	0.0757481377995456	MexHigh
RIMMA0625	39496201	36198666.8	45457396	0.35615	5961195	0.131138066069601	Andes
RIMMA0626	38464862	36593528.2	46043860	0.19802	7578998	0.16460387986585	MexHigh
RIMMA0662	39575555	36164649.9	45411766	0.36886	5836211	0.128517596078514	Andes
RIMMA0665	39750096	36271245.8	45560258	0.37451	5810162	0.127526977568915	Andes
RIMMA0670	39087032	37209100.7	46830252	0.19519	7743220	0.165346537105972	GuaHigh
RIMMA0672	38839491	36745712.5	46264317	0.21997	7424826	0.160487098512661	MexHigh
RIMMA0677	39161579	35560470.8	44709351	0.39361	5547772	0.124085272452289	MexHigh
RIMMA0703	40400949	38027788.4	47865092	0.24124	7464143	0.1559412650873	MexLow
RIMMA0720	39766418	37200832.5	46746379	0.26877	6979961	0.149315543777198	MexLow
RIMMA0733	39733814	36292661	45606133	0.36948	5872319	0.128761607567123	MexLow
RIMMA1007	39006868	36713312.9	46193091	0.24194	7186223	0.155569217050229	GuaHigh
RIMMA1008	38761685	36656877.4	46111758	0.22262	7350073	0.159396937327785	GuaHigh
RIMMA1010	39209912	36189419.4	45507319	0.32416	6297407	0.138382289670811	MexLow
RIMMA1012	38861545	36325638.6	45764154	0.26868	6902609	0.150830036102055	SW_US
