ind	distance	pop	load
RIMMA0383	2002.92103157	SW_US	120753.54167479
RIMMA0384	2081.12192595	SW_US	124407.43344852
RIMMA0385	2104.50705601	SW_US	126380.932398955
RIMMA0387	2048.7922761	SW_US	131086.887074319
RIMMA0390	3070.40940664	SA_Low	125702.54325987
RIMMA0392	3244.91810658	SA_Low	132662.938449279
RIMMA0393	2919.63942324	SA_Low	131847.723020445
RIMMA0395	2700.13599282	SA_Low	144941.975120926
RIMMA0398	2814.72618546	SA_Low	129503.081398241
RIMMA0399	2952.42902013	SA_Low	136077.643256329
RIMMA0409	835.483555494	MexLow	131586.32677459
RIMMA0415	2227.59548914	SW_US	131481.896679696
RIMMA0421	307.004476438	MexHigh	119944.350658765
RIMMA0625	3893.34136903	Andes	142780.991442246
RIMMA0466	4683.83346005	Andes	145045.462447223
RIMMA0468	3966.87277983	Andes	147387.052721037
RIMMA0438	317.491958746	MexHigh	121267.0053877 
RIMMA0626	342.667150426	MexHigh	116976.963470314
RIMMA0662	3154.09700593	Andes	138383.03597284
RIMMA0665	3146.58326807	Andes	144162.445980774
RIMMA0670	967.596908365	GuaHigh	120043.127846404
RIMMA0672	211.209539703	MexHigh	125931.992044464
RIMMA0703	1265.25848795	MexLow	128482.107608552
RIMMA0720	1246.65929513	MexLow	127815.549338668
RIMMA0733	620.643697396	MexLow	135577.912384975
RIMMA1007	963.155874122	GuaHigh	125135.423807086
RIMMA1008	1012.82695392	GuaHigh	118277.317881273
RIMMA1010	186.584301149	MexLow	130828.895985812
RIMMA1012	2040.97340102	SW_US	124792.189346935
