sample	geoDis	latitude	longitude	country_name	state	region	site_name	elevation	countN	known	hetero	percpoly
SEEDGWAS1003	1133.5947249	20.485433	-89.732539	Mexico	NA		MUNA	45	352867	375119	12518	0.0333707436840043
SEEDGWAS1004	437.56424219	20.969048	-97.382255	Mexico	NA		TUXPAM	11	339452	388534	14680	0.0377830511615457
SEEDGWAS1006	6544.85670277	-23.267981	-57.309104	South America	NA	CONCEPCION	LORETO, SAN JOSE-MI	132	359332	368654	12295	0.0333510554612184
SEEDGWAS1007	4215.27335852	8.433333333	-62.46666667	Central America	NA	T.F. AMAZONAS	LOS MANCALES, SIERRA IMATACA	43	424503	303483	8078	0.0266176359137085
SEEDGWAS1008	3176.88272309	3.85	-74.91666667	Central America	NA	PURIFICACION	SALDANA	297	371511	356475	9675	0.0271407532084999
SEEDGWAS1009	1292.64162198	19.58333333	-88.05	Mexico	NA	FELIPE CARRILLO PUERTO	SANTA CRUZ A 35 KM. DE DZULA A SUR SELVA DENT	12	286760	441226	18910	0.0428578551581276
SEEDGWAS101	396.443994088	20.43027778	-97.382222	Mexico	NA	PAPANTLA DE OLARTE	EL TAJIN	109	321449	406537	11793	0.0290084297370227
SEEDGWAS1011	838.295169291	16.332904	-92.564373	Mexico	NA		VENUSTIANO CARRANZA	700	321903	406083	16303	0.0401469650293167
SEEDGWAS1012	838.295169291	16.332904	-92.564373	Mexico	NA		VENUSTIANO CARRANZA	700	356616	371370	11172	0.0300832054285483
SEEDGWAS1014	426.64576185	21.51666667	-98.38333333	Mexico	NA		TEMPOAL	42	361971	366015	12919	0.0352963676352062
SEEDGWAS1015	127.693976203	17.167363	-99.537659	Mexico	NA		TIERRA COLORADA	290	351734	376252	14710	0.0390961376949491
SEEDGWAS1019	388.251250858	21.296297	-98.746577	Mexico	NA	TAMAZUNCHALE	RANCHO DEL TEPETATE	108	330268	397718	13551	0.0340718800758326
SEEDGWAS1020	805.927687264	16.56666667	-92.81666667	Mexico	NA		ACALA	449	350425	377561	13670	0.0362060700125278
SEEDGWAS1022	783.192327394	16.71666667	-93	Mexico	NA	CHIAPA DE CORZO	RIVERA DE CUPIA	420	367625	360361	12765	0.0354228121245085
SEEDGWAS1023	768.605443369	16.25	-93.26666667	Mexico	NA		VILLA FLORES	572	371259	356727	12320	0.0345362139675438
SEEDGWAS1024	770.203455163	16.2	-93.26666667	Mexico	NA		VILLA CORZO	569	395568	332418	10849	0.0326366201589565
SEEDGWAS1025	805.927687264	16.56666667	-92.81666667	Mexico	NA		ACALA	449	187523	540463	32628	0.0603704601425074
SEEDGWAS1026	7188.61205667	-35.96666667	-62.7	South America	NA	BUENOS AIRES	TRENQUE LAUQUEN	90	420026	307960	9456	0.0307052864008313
SEEDGWAS1027	6639.44313093	-27.01666667	-59.85	South America	NA	CHACO	PRESIDENCIA DE LA PLAZA	76	375978	352008	11560	0.0328401627235745
SEEDGWAS1029	709.281654173	16.7	-93.71666667	Mexico	NA		CINTALAPA	547	320236	407750	16019	0.0392863274064991
SEEDGWAS1030	428.241891481	21.06666667	-97.63333333	Mexico	NA		TEMAPACHE	229	335178	392808	13647	0.0347421641107106
SEEDGWAS1031	709.281654173	16.7	-93.71666667	Mexico	NA		CINTALAPA	547	377040	350946	11845	0.0337516313051011
SEEDGWAS1032	1292.64162198	19.58333333	-88.05	Mexico	NA	FELIPE CARRILLO PUERTO	EJIDO PIEDRAS NEGRAS	12	418114	309872	9048	0.0291991531987401
SEEDGWAS1033	158.622708338	18.317643	-101.728267	Mexico	NA		COAHUAYUTLA	342	386504	341482	12735	0.0372933273203273
SEEDGWAS1034	373.161615911	19.38333333	-96.96666667	Mexico	NA		TEOCELO	1167	348665	379321	14032	0.0369924153948766
SEEDGWAS1035	557.051999646	22.81666667	-98.43333333	Mexico	NA		GONZALEZ	84	400797	327189	9934	0.0303616564126545
SEEDGWAS1036	752.468609968	17.1	-93.21666667	Mexico	NA		COPAINALA	523	402512	325474	11462	0.0352163306439224
SEEDGWAS1037	165.09497534	17.971798	-101.799996	Mexico	NA		LA UNION	106	383453	344533	8176	0.0237306731140413
SEEDGWAS1039	7030.88780946	-26.63	-54.13	South America	NA	MISIONES	SAN PEDRO, TOBUNA	550	337150	390836	15053	0.0385148758046853
SEEDGWAS104	1109.79524182	19.744273	-89.82814	Mexico	NA		HOPELCHEN	76	326476	401510	12571	0.0313093073646983
SEEDGWAS1040	6688.05183217	-26.142484	-58.240208	South America	NA	FORMOSA	PILCOMAYO, JOSE CANCIO	62	237906	490080	24150	0.0492776689520078
SEEDGWAS1041	6586.94938582	-25.3	-58.75	South America	NA	FORMOSA	PILAGAS, TRES LAGUNAS	88	401256	326730	10195	0.0312031340862486
SEEDGWAS1042	6311.20943128	-24.164012	-61.333411	South America	NA	FORMOSA	BERMEJO, DR. GUMERCINDO SAYAGO	166	345878	382108	11783	0.0308368314717305
SEEDGWAS1043	875.280564226	16.9	-92.08	Mexico	NA		OCOSINGO	874	363638	364348	13217	0.0362757583409268
SEEDGWAS1044	875.280564226	16.9	-92.08	Mexico	NA		OCOSINGO	874	342470	385516	14658	0.0380217682275184
SEEDGWAS1045	386.075433674	21.038899	-98.277964	Mexico	NA	HUAUTLA	TAMOYON I	406	368287	359699	12295	0.0341813571903175
SEEDGWAS1048	395.406554419	21.10534	-98.222282	Mexico	NA	HUAUTLA	CHALINGO, CAMINO A SACUALA	249	342885	385101	13113	0.034050807450513
