SNP_ID	SNP_newID	chromosome	position	cM						
S_88897	M1	1	88897	-4.8						
S_170386	M2	1	170386	-4.6						
S_251876	M3	1	251876	-4.4						
S_333365	M4	1	333365	-4.2						
S_414855	M5	1	414855	-4						
S_496344	M6	1	496344	-3.8						
S_577834	M7	1	577834	-3.6						
S_659323	M8	1	659323	-3.4						
S_740812	M9	1	740812	-3.2						
S_822302	M10	1	822302	-3						
S_903791	M11	1	903791	-2.8						
S_985281	M12	1	985281	-2.6						
S_1066770	M13	1	1066770	-2.4						
S_1148260	M14	1	1148260	-2.2						
S_1229749	M15	1	1229749	-2						
S_1311239	M16	1	1311239	-1.8						
S_1392728	M17	1	1392728	-1.6						
S_1474217	M18	1	1474217	-1.4						
S_1555707	M19	1	1555707	-1.2						
S_1637196	M20	1	1637196	-1						
S_1718686	M21	1	1718686	-0.8						
S_1800175	M22	1	1800175	-0.6						
S_1881665	M23	1	1881665	-0.4						
S_1963154	M24	1	1963154	-0.2						
S_2180524	M25	1	2180524	1.28E-15						
S_2397894	M26	1	2397894	0.2						
S_2615265	M27	1	2615265	0.4						
S_2832635	M28	1	2832635	0.6						
S_2969600	M29	1	2969600	0.8						
S_3026161	M30	1	3026161	1						
S_3082721	M31	1	3082721	1.2						
S_3139282	M32	1	3139282	1.4						
S_3195842	M33	1	3195842	1.6						
S_3252403	M34	1	3252403	1.8						
S_3308963	M35	1	3308963	2						
S_3365524	M36	1	3365524	2.2						
S_3422084	M37	1	3422084	2.4						
S_3478645	M38	1	3478645	2.6						
S_3535205	M39	1	3535205	2.8						
S_3591766	M40	1	3591766	3						
S_3648326	M41	1	3648326	3.2						
S_3704887	M42	1	3704887	3.4						
S_3784140	M43	1	3784140	3.6						
S_3886086	M44	1	3886086	3.8						
S_3988033	M45	1	3988033	4						
S_4089979	M46	1	4089979	4.2						
S_4191925	M47	1	4191925	4.4						
S_4293872	M48	1	4293872	4.6						
S_4395818	M49	1	4395818	4.8						
S_4471636	M50	1	4471636	5						
S_4521325	M51	1	4521325	5.2						
S_4571015	M52	1	4571015	5.4						
S_4620704	M53	1	4620704	5.6						
S_4670394	M54	1	4670394	5.8						
S_4720084	M55	1	4720084	6						
S_4769773	M56	1	4769773	6.2						
S_4819463	M57	1	4819463	6.4						
S_4869152	M58	1	4869152	6.6						
S_4918842	M59	1	4918842	6.8						
S_4968531	M60	1	4968531	7						
S_5018221	M61	1	5018221	7.2						
S_5067911	M62	1	5067911	7.4						
S_5117600	M63	1	5117600	7.6						
S_5167290	M64	1	5167290	7.8						
S_5216979	M65	1	5216979	8						
S_5266669	M66	1	5266669	8.2						
S_5316358	M67	1	5316358	8.4						
S_5366048	M68	1	5366048	8.6						
S_5415738	M69	1	5415738	8.8						
S_5465427	M70	1	5465427	9						
S_5515117	M71	1	5515117	9.2						
S_5564806	M72	1	5564806	9.4						
S_5625467	M73	1	5625467	9.6						
S_5697098	M74	1	5697098	9.8						
S_5768729	M75	1	5768729	10						
S_5840360	M76	1	5840360	10.2						
S_5911991	M77	1	5911991	10.4						
S_5983623	M78	1	5983623	10.6						
S_6055254	M79	1	6055254	10.8						
S_6126885	M80	1	6126885	11						
S_6198516	M81	1	6198516	11.2						
S_6284826	M82	1	6284826	11.4						
S_6385813	M83	1	6385813	11.6						
S_6486801	M84	1	6486801	11.8						
S_6587788	M85	1	6587788	12						
S_6688776	M86	1	6688776	12.2						
S_6789763	M87	1	6789763	12.4						
S_6890751	M88	1	6890751	12.6						
S_6991738	M89	1	6991738	12.8						
S_7092726	M90	1	7092726	13						
S_7193713	M91	1	7193713	13.2						
S_7298970	M92	1	7298970	13.4						
S_7404228	M93	1	7404228	13.6						
S_7509485	M94	1	7509485	13.8						
S_7614742	M95	1	7614742	14						
S_7719999	M96	1	7719999	14.2						
S_7825257	M97	1	7825257	14.4						
S_7930514	M98	1	7930514	14.6						
S_8035771	M99	1	8035771	14.8						
S_8141028	M100	1	8141028	15						
S_8246286	M101	1	8246286	15.2						
S_8351543	M102	1	8351543	15.4						
S_8421469	M103	1	8421469	15.6						
S_8489863	M104	1	8489863	15.8						
S_8558256	M105	1	8558256	16						
S_8640669	M106	1	8640669	16.2						
S_8723082	M107	1	8723082	16.4						
S_8805495	M108	1	8805495	16.6						
S_8887909	M109	1	8887909	16.8						
S_8970322	M110	1	8970322	17						
S_9052735	M111	1	9052735	17.2						
S_9152449	M112	1	9152449	17.4						
S_9252164	M113	1	9252164	17.6						
S_9314887	M114	1	9314887	17.8						
S_9336056	M115	1	9336056	18						
S_9357225	M116	1	9357225	18.2						
S_9378393	M117	1	9378393	18.4						
S_9399562	M118	1	9399562	18.6						
S_9420731	M119	1	9420731	18.8						
S_9441900	M120	1	9441900	19						
S_9463068	M121	1	9463068	19.2						
S_9484237	M122	1	9484237	19.4						
S_9728947	M123	1	9728947	19.6						
S_9973657	M124	1	9973657	19.8						
S_10144516	M125	1	10144516	20						
S_10240686	M126	1	10240686	20.2						
S_10336856	M127	1	10336856	20.4						
S_10433026	M128	1	10433026	20.6						
S_10529196	M129	1	10529196	20.8						
S_10625367	M130	1	10625367	21						
S_10721537	M131	1	10721537	21.2						
S_10817707	M132	1	10817707	21.4						
S_10913877	M133	1	10913877	21.6						
S_11013433	M134	1	11013433	21.8						
S_11116374	M135	1	11116374	22						
S_11219316	M136	1	11219316	22.2						
S_11322257	M137	1	11322257	22.4						
S_11425199	M138	1	11425199	22.6						
S_11528140	M139	1	11528140	22.8						
S_11631082	M140	1	11631082	23						
S_11734023	M141	1	11734023	23.2						
S_11836965	M142	1	11836965	23.4						
S_11939906	M143	1	11939906	23.6						
S_12042848	M144	1	12042848	23.8						
S_12145789	M145	1	12145789	24						
S_12248731	M146	1	12248731	24.2						
S_12338928	M147	1	12338928	24.4						
S_12429125	M148	1	12429125	24.6						
S_12519321	M149	1	12519321	24.8						
S_12609518	M150	1	12609518	25						
S_12699715	M151	1	12699715	25.2						
S_12789912	M152	1	12789912	25.4						
S_12880109	M153	1	12880109	25.6						
S_12970306	M154	1	12970306	25.8						
S_13060502	M155	1	13060502	26						
S_13150699	M156	1	13150699	26.2						
S_13240896	M157	1	13240896	26.4						
S_13331093	M158	1	13331093	26.6						
S_13421290	M159	1	13421290	26.8						
S_13511487	M160	1	13511487	27						
S_13601683	M161	1	13601683	27.2						
S_13691880	M162	1	13691880	27.4						
S_13782077	M163	1	13782077	27.6						
